119	4	26	1.119
120	4	27	1.120
123	4	30	1.123
150	5	26	1.150
151	5	27	1.151
154	5	30	1.154
155	5	31	1.155
181	6	26	1.181
182	6	27	1.182
183	6	28	1.183
184	6	29	1.184
185	6	30	1.185
259	7	74	2.74
335	8	72	2.150
336	8	73	2.151
337	8	74	2.152
338	8	75	2.153
339	8	76	2.154
340	8	77	2.155
341	8	78	2.156
413	9	72	2.228
414	9	73	2.229
415	9	74	2.230
416	9	75	2.231
417	9	76	2.232
418	9	77	2.233
419	9	78	2.234
491	10	72	2.306
492	10	73	2.307
493	10	74	2.308
494	10	75	2.309
495	10	76	2.310
496	10	77	2.311
497	10	78	2.312
569	11	72	2.384
570	11	73	2.385
571	11	74	2.386
572	11	75	2.387
573	11	76	2.388
574	11	77	2.389
646	12	72	2.461
647	12	73	2.462
648	12	74	2.463
649	12	75	2.464
650	12	76	2.465
651	12	77	2.466
765	14	47	3.114
766	14	48	3.115
767	14	49	3.116
768	14	50	3.117
769	14	51	3.118
770	14	52	3.119
771	14	53	3.120
772	14	54	3.121
773	14	55	3.122
774	14	56	3.123
775	14	57	3.124
776	14	58	3.125
777	14	59	3.126
778	14	60	3.127
779	14	61	3.128
780	14	62	3.129
781	14	63	3.130
782	14	64	3.131
783	14	65	3.132
784	14	66	3.133
785	14	67	3.134
832	15	47	3.181
833	15	48	3.182
834	15	49	3.183
835	15	50	3.184
836	15	51	3.185
837	15	52	3.186
838	15	53	3.187
839	15	54	3.188
840	15	55	3.189
841	15	56	3.190
842	15	57	3.191
843	15	58	3.192
844	15	59	3.193
845	15	60	3.194
846	15	61	3.195
847	15	62	3.196
848	15	63	3.197
849	15	64	3.198
850	15	65	3.199
851	15	66	3.200
852	15	67	3.201
899	16	47	3.248
900	16	48	3.249
901	16	49	3.250
902	16	50	3.251
903	16	51	3.252
904	16	52	3.253
905	16	53	3.254
906	16	54	3.255
907	16	55	3.256
908	16	56	3.257
909	16	57	3.258
910	16	58	3.259
911	16	59	3.260
912	16	60	3.261
913	16	61	3.262
914	16	62	3.263
915	16	63	3.264
916	16	64	3.265
917	16	65	3.266
918	16	66	3.267
965	17	47	3.314
966	17	48	3.315
967	17	49	3.316
968	17	50	3.317
969	17	51	3.318
970	17	52	3.319
971	17	53	3.320
972	17	54	3.321
973	17	55	3.322
974	17	56	3.323
975	17	57	3.324
976	17	58	3.325
977	17	59	3.326
978	17	60	3.327
979	17	61	3.328
980	17	62	3.329
981	17	63	3.330
982	17	64	3.331
983	17	65	3.332
984	17	66	3.333
1031	18	47	3.380
1032	18	48	3.381
1033	18	49	3.382
1034	18	50	3.383
1035	18	51	3.384
1036	18	52	3.385
1037	18	53	3.386
